School_id,teacher ID,SubjectMasterID,Subject Code,subject Name,YearID,DivisionID,DivisionName,SemesterID,SemesterName,BranchID,BranchName,DeptID,DeptName,CourseLevel,Year
COEP,10209001,2,ERP-09002,Financial Accounting and Management Accounting,9,4290,Div-1,21,Semester I,40,Enterprise Resource Planning,2,,PG Diploma,2013
COEP,10209001,1,ERP-09001,Introduction to ERP (Navigation / Basis / Architecture / ABAP),9,4290,Div-1,21,Semester I,40,Enterprise Resource Planning,2,,PG Diploma,2013
COEP,10209001,4,ERP-09004,Production and Operation Management,9,4290,Div-1,21,Semester I,40,Enterprise Resource Planning,2,,PG Diploma,2013
COEP,10209001,3,ERP-09003,Supply Chain Management I (Procurement / Warehousing / Sales),9,4290,Div-1,21,Semester I,40,Enterprise Resource Planning,2,,PG Diploma,2013
COEP,10209001,7,DE-09003,BASIS,9,4290,Div-1,21,Semester I,40,Enterprise Resource Planning,2,,PG Diploma,2013
COEP,10209001,5,DE-09001,Human Resource Management,9,4290,Div-1,21,Semester I,40,Enterprise Resource Planning,2,,PG Diploma,2013
COEP,10209001,6,DE-09002,Project Systems,9,4290,Div-1,21,Semester I,40,Enterprise Resource Planning,2,,PG Diploma,2013
COEP,10209001,8,ERP-09005,ERP Implementation Methodology,9,4290,Div-1,22,Semester II,40,Enterprise Resource Planning,2,,PG Diploma,2013
COEP,10209001,12,DE-09007,ABAP,9,4290,Div-1,22,Semester II,40,Enterprise Resource Planning,2,,PG Diploma,2013
COEP,10209001,13,DE-09008,BASIS,9,4290,Div-1,22,Semester II,40,Enterprise Resource Planning,2,,PG Diploma,2013
COEP,10209001,14,DE-09009,SAP - Financial Accounting (FI) and Management Accounting (CO),9,4290,Div-1,22,Semester II,40,Enterprise Resource Planning,2,,PG Diploma,2013
COEP,10209001,10,DE-09005,SAP - Sales and Distribution (Order Fulfillment),9,4290,Div-1,22,Semester II,40,Enterprise Resource Planning,2,,PG Diploma,2013
COEP,10209001,11,DE-09006,SAP - SCM Planning and Manufacturing,9,4290,Div-1,22,Semester II,40,Enterprise Resource Planning,2,,PG Diploma,2013
COEP,10209001,15,DE-09010,SAP-Human Capital Management,9,4290,Div-1,22,Semester II,40,Enterprise Resource Planning,2,,PG Diploma,2013
COEP,10209001,9,DE-09004,SAP-Materials Management (Procurement),9,4290,Div-1,22,Semester II,40,Enterprise Resource Planning,2,,PG Diploma,2013
COEP,30209002,22,ERP-09017,Industry Project,9,4290,Div-1,23,Semester III,40,Enterprise Resource Planning,2,,PG Diploma,2013
COEP,30209002,16,DE-09011,SAP eAcademy Financials-Financial Accounting,9,4290,Div-1,23,Semester III,40,Enterprise Resource Planning,2,,PG Diploma,2013
COEP,30209002,17,DE-09012,SAP eAcademy Financials-Management Accounting,9,4290,Div-1,23,Semester III,40,Enterprise Resource Planning,2,,PG Diploma,2013
COEP,10209001,18,DE-09013,SAP eAcademy Human Resources (HCM)-Management & Administration,9,4290,Div-1,23,Semester III,40,Enterprise Resource Planning,2,,PG Diploma,2013
COEP,10209001,19,DE-09014,SAP eAcademy NetWeaver-ABAP Basics (SAP NetWeaver),9,4290,Div-1,23,Semester III,40,Enterprise Resource Planning,2,,PG Diploma,2013
COEP,30209002,20,DE-09015,SAP- eAcademy SCM ? Order Fulfillment,9,4290,Div-1,23,Semester III,40,Enterprise Resource Planning,2,,PG Diploma,2013
COEP,10209001,23,DE-09017,SAP- eAcademy SCM ? Planning and Manufacturing ,9,4290,Div-1,23,Semester III,40,Enterprise Resource Planning,2,,PG Diploma,2013
COEP,10209001,21,DE-09016,SAP- eAcademy SCM ? Procurement,9,4290,Div-1,23,Semester III,40,Enterprise Resource Planning,2,,PG Diploma,2013
COEP,4198002005,285,CT-11002,Computer Programming LAB,10,4295,Div-6,5,Semester I,3,Computer Engineering,8,,UG,2014
COEP,4198002005,284,CT-11001,Fundamentals of Computer Programminng,10,4295,Div-6,5,Semester I,3,Computer Engineering,8,,UG,2014
COEP,4105008005,299,PE-11001,Techshop,10,4290,Div-1,3,Semester I,2,Civil Engineering,9,,UG,2014
COEP,4105008005,299,PE-11001,Techshop,10,4290,Div-1,13,Semester I,7,Mechanical Engineering,4,,UG,2014
COEP,4105008005,299,PE-11001,Techshop,10,4290,Div-1,25,Semester I,9,Production Engineering (Sandwich),2,,UG,2014
COEP,419817002,293,CH-11001,Engineering Chemistry,10,4291,Div-2,3,Semester I,2,Civil Engineering,9,,UG,2014
COEP,419817002,294,CH-11002,Engineering Chemistry LAB,10,4291,Div-2,3,Semester I,2,Civil Engineering,9,,UG,2014
COEP,419817002,293,CH-11001,Engineering Chemistry,10,4291,Div-2,13,Semester I,7,Mechanical Engineering,4,,UG,2014
COEP,419817002,294,CH-11002,Engineering Chemistry LAB,10,4291,Div-2,13,Semester I,7,Mechanical Engineering,4,,UG,2014
COEP,419817002,293,CH-11001,Engineering Chemistry,10,4291,Div-2,15,Semester I,8,Metallurgical Engineering,3,,UG,2014
COEP,419817002,294,CH-11002,Engineering Chemistry LAB,10,4291,Div-2,15,Semester I,8,Metallurgical Engineering,3,,UG,2014
